,Título,URL,Precio
0,Audífonos Inalámbricos Con Noise Cancelling Wh-1000xm4,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=21CdBiS7aVABcFMTikcoaSuRmQOKemzYlrkE6fpFliHK3T64r%2FNLb8eTnwuQq9LYncBPsSM%2BnKk68sJo8%2BqUGTr0AwaPqfFlJplE28PoRerbWlaZL%2BQ0U5IkNSZ%2BYRgjvhI44eGvxUWYWaemVfvvhoaAqnVj9b02kIfcqBZxClHoFSAfif5BgdkheMCKZ1EyNGedrRZ5z9NYl6Z73OIumyb3FJSD946%2Fuoq6ydR%2BevuMduJyuPQ0Xr%2BEs8TGlJ1lLMhxAcM91%2BiUMPvSN%2FPliW5DUpMGwS9wm1Th3i%2FcXsTorb0t6c%2B%2Be3%2BJDNYjLthfL0UgCIdu8XIT23TtBz0U%2BTr2YizkkSfzZ1Lcb5C%2F6dMZmVsJEG5rl5jhghFXbOi1lmk%2F1QOP933ZPVNnRUOrE5g6bLlzv5VKTJ6N9VFUnPXVJWIeX3nUOCpJv%2BScclnrk8Or7gVekyyZ4i7n5pVIBRFHd2lg4VnGy8BOpyl9Lo%2FyfAvXxDvCVL3b3yKwfR88tG69B4QMj992hqzXBFXGlrqUu3esK4aMoHuTYCG%2FgkRnWXP9ZE6%2FPXKgs%2F9LSTEUHmPCGdg51X3Y%2Fa8KgVMEoGzBb1EldMi%2Bn2kHao%2BFMBBjme%2BjlHj%2F0H1RzwK5iIBx%2FbJifr%2Bv&rb=x,899.0
1,Audífonos Inalámbricos Con Noise Cancelling Wf-1000xm4,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=o5nxlZPHjxEqCBSzRw345vlib4OeHdfUQKHnlsY2A%2BoVMlwH6Kocd4%2FbHHL4uE1WaoIBh0l74qxFWoJ2pjGWuBiKwRnAXaqI%2F6LuIa7eP1HOIHzuq4NYjb%2FmmsZmSJcOH68LkDOTN7cKomzMiCIm4B5oYf7e%2FoBxlzsKvAFTFAYSgIRVn%2BtI9UmLmXBV4WotsrxX1jUK8MASDSHsBZLKLtI02I6dDXSnlC581o3DdBPEBmTUy299EcsiXDtGnRBrFJN0zzrV%2FVu3%2BtDL5WR0t8fYQLTMgeQfPoomxURlZ3tcP8Dl5huxmRGaz%2BEjnAfn76aL9M7%2BWQvgW9jw7joZJ6iVw6uHfbhBkpsh45U0TLgdDA7XkHnqxuLrSN0APxKgrEpKHfoTdxCTUgkyhgjb%2BLmf3jXbgv7EzmZdla8QIFslSHVWOFkpdkMb%2FZAC3Cx%2BHpoPZncvrOzTt5OtmkRQuCrqdAq0aCGaGINbS4VRRjN5GB3F5AZpwyNT1N6F557FQsP%2BtzNws%2BNMFK0cQBrwydymtQNf5jq%2BEj%2FvjrMJqemcQW9Lsjs6xVsg72VIvJ993MbJZDyUM9Im021XRsS4mP1Lp4S2mxAKOkS0qnv9IEc3584SNWR01J3Wf2brbTl0VUO8HVcX&rb=x,949.0
2,Audífonos Inalámbricos Con Noise Cancelling Wh-1000xm4,https://articulo.mercadolibre.com.pe/MPE-440820439-audifonos-inalambricos-con-noise-cancelling-wh-1000xm4-_JM#position=3&search_layout=stack&type=item&tracking_id=7ea283b4-d237-44c7-80db-a2bbd1ba0135,899.0
3,"Audifonos Xiaomi Redmi Airdots 3, Qualcomm Apt-x Stereo Bass",https://articulo.mercadolibre.com.pe/MPE-447051978-audifonos-xiaomi-redmi-airdots-3-qualcomm-apt-x-stereo-bass-_JM#position=4&search_layout=stack&type=item&tracking_id=7ea283b4-d237-44c7-80db-a2bbd1ba0135,159.9
4,Audífono C/microf. Razer Blackshark V2 X ,https://articulo.mercadolibre.com.pe/MPE-440946804-audifono-cmicrof-razer-blackshark-v2-x-_JM#position=5&search_layout=stack&type=item&tracking_id=7ea283b4-d237-44c7-80db-a2bbd1ba0135,164.0
5,Audífonos Inalámbricos Con Noise Cancelling Wf-1000xm4,https://articulo.mercadolibre.com.pe/MPE-603178089-audifonos-inalambricos-con-noise-cancelling-wf-1000xm4-_JM#position=6&search_layout=stack&type=item&tracking_id=7ea283b4-d237-44c7-80db-a2bbd1ba0135,949.0
6,Audifonos Huawei Am61 Bluetooth Sport Lite + Regalo ,https://articulo.mercadolibre.com.pe/MPE-434303167-audifonos-huawei-am61-bluetooth-sport-lite-regalo-_JM#position=7&search_layout=stack&type=item&tracking_id=7ea283b4-d237-44c7-80db-a2bbd1ba0135,119.0
7,Sony Audífonos Inalámbricos Con Noise Cancelling Wf-1000xm3,https://articulo.mercadolibre.com.pe/MPE-438559148-sony-audifonos-inalambricos-con-noise-cancelling-wf-1000xm3-_JM#position=8&search_layout=stack&type=item&tracking_id=7ea283b4-d237-44c7-80db-a2bbd1ba0135,399.0
8, Auriculares  Inalámbricos G435 Lightspeed - Negro,https://articulo.mercadolibre.com.pe/MPE-604522634-auriculares-inalambricos-g435-lightspeed-negro-_JM#position=9&search_layout=stack&type=item&tracking_id=7ea283b4-d237-44c7-80db-a2bbd1ba0135,315.0
9,Jbl Tune 510bt Audifonos Bluetooth 5.0 Pure Bass Sound 40hrs,https://articulo.mercadolibre.com.pe/MPE-446539797-jbl-tune-510bt-audifonos-bluetooth-50-pure-bass-sound-40hrs-_JM#position=10&search_layout=stack&type=item&tracking_id=7ea283b4-d237-44c7-80db-a2bbd1ba0135,159.0
