Column1;Column2;Column3;Column4
titulo;link;modelo;marca
Televisor LG LED 65'' UHD 4K Smart Tv 65UP7750 (2021);https://www.plazavea.com.pe/televisor-lg-led-65-uhd-4k-smart-tv-65up7750-2021/p;65UP7750PSB;LG
"Televisor SAMSUNG CRYSTAL UHD 55"" Ultra HD / 4K Smart TV UN55AU8000GXPE";https://www.plazavea.com.pe/televisor-samsung-crystal-uhd-55--ultra-hd---4k-smart-tv-un55au8000gxpe/p;UN55AU8000GXPE;SAMSUNG
Televisor LG LED 55'' UHD 4K Smart Tv 55UP7750 (2021);https://www.plazavea.com.pe/televisor-lg-led-55-uhd-4k-smart-tv-55up7750-2021/p;55UP7750PSB;LG
"Televisor SAMSUNG CRYSTAL UHD 65"" Ultra HD / 4K Smart TV UN65AU8000GXPE";https://www.plazavea.com.pe/televisor-samsung-crystal-uhd-65--ultra-hd---4k-smart-tv-un65au8000gxpe/p;UN65AU8000GXPE;SAMSUNG
Televisor LG NanoCell 75'' UHD 4K ThinQ AI 75NANO75 (2021);https://www.plazavea.com.pe/televisor-lg-nanocell-75-uhd-4k-thinq-ai-75nano75-2021/p;75NANO75SPA;LG
"Televisor HYUNDAI LED 32"" HYLED3236D";https://www.plazavea.com.pe/televisor-hyundai-led-32/p;HYLED3236D;HYUNDAI
Televisor LG LED 43'' UHD 4K Smart Tv 43UP7500 (2021);https://www.plazavea.com.pe/televisor-lg-led-43-uhd-4k-smart-tv-43up7500-2021/p;43UP7500PSF;LG
Televisor LG LED 43'' FHD ThinQ AI 43LM6370;https://www.plazavea.com.pe/televisor-lg-led-43-fhd-thinq-ai-43lm6370/p;43LM6370PSB;LG
Televisor LG NanoCell 55'' UHD 4K ThinQ AI 55NANO75 (2021);https://www.plazavea.com.pe/televisor-lg-nanocell-55-uhd-4k-thinq-ai-55nano75-2021/p;55NANO75SPA;LG
Televisor PHILIPS LED 50'' UHD 4K Smart Tv 50PUD7625;https://www.plazavea.com.pe/televisor-philips-led-50-uhd-4k-smart-tv-50pud7625/p;50PUD7625;PHILIPS
Televisor HISENSE LED 65'' UHD 4K Smart TV 65A6GSV;https://www.plazavea.com.pe/televisor-hisense-led-65-uhd-4k-smart-tv-65a6gsv/p;65A6GSV;HISENSE
